code,name,date,headline,article
GOOGL,Alphabet Inc,20180824,Waymo sets up subsidiary in Shanghai as Google plans China push ,BEIJING/SHANGHAI Alphabet Inc's  self-driving unit Waymo has set up a subsidiary in Shanghai  according to a business registration filing  the latest sign that the U.S. internet giant is attempting to make new inroads into China.
GOOGL,Alphabet Inc,20180814,Alphabet to invest $375 million in health insurer Oscar Health ,Alphabet Inc  plans to invest $375 million in Oscar Health  helping it expand to more markets and business segments  including Medicare Advantage in 2020  the health insurance start-up said on Tuesday.
GOOGL,Alphabet Inc,20180724,S&P reaches highest level since February as Alphabet shares soar ,NEW YORK The S&P 500 on Tuesday closed at its highest level since Feb. 1 as Alphabet's blowout results bolstered expectations of a robust earnings season. | Video 
GOOGL,Alphabet Inc,20180723,REFILE-Alphabet trounces profit estimates on ad sales surge ,July 23 Alphabet Inc beat Wall Street estimates for second quarter profit on Monday as it benefited from soaring sales of online advertisements  sending shares 6 percent higher in trading after the bell.
GOOGL,Alphabet Inc,20180718,U.S. tech enforcer says will read 'closely' EU statement on Google ,WASHINGTON The head of the U.S. Federal Trade Commission  which has investigated Alphabet's Google in the past for abuse of web dominance  said on Wednesday he would take a close look at Europe's recent decision to fine the company 4.34 billion euros ($5 billion).
GOOGL,Alphabet Inc,20180717,Alphabet's GV leads $16 million investment in site rental firm Peerspace ,SAN FRANCISCO Alphabet Inc's venture capital unit GV led a $16 million investment this month in Peerspace Inc  a self-serve online booking tool for event spaces  the firms told Reuters on Tuesday.
GOOGL,Alphabet Inc,20180716,Moment of truth for Google as record EU antitrust fine looms ,BRUSSELS Google  is set to face a record-busting EU antitrust fine this week over its Android mobile operating system but rivals hoping that an order to halt unfair business practices will help them may be disappointed.
GOOGL,Alphabet Inc,20180711,Alphabet to make Loon  Wing projects independent companies ,Google parent Alphabet Inc's X research division said on Wednesday its Wing and Loon projects will become independent companies.
GOOGL,Alphabet Inc,20180709,Uber  Alphabet invest in bike sharing service Lime ,Bike sharing service Lime said on Monday it raised $335 million from a group of investors including ride-sharing firm Uber Technologies Inc and Alphabet Inc . | Video 
GOOGL,Alphabet Inc,20180628,California lawmakers approve data-privacy bill opposed by Silicon Valley ,SAN FRANCISCO  June 28 California state lawmakers on Thursday unanimously passed a data privacy bill aimed at giving consumers more control over how companies collect and manage their personal information  a bill that Google parent Alphabet Inc and other big companies have opposed.
GOOGL,Alphabet Inc,20180621,U.S. lawmakers want Google to reconsider links to China's Huawei ,WASHINGTON Some Republican and Democratic U.S. lawmakers asked Alphabet Inc's  Google on Wednesday to reconsider its work with Chinese telecommunications firm Huawei Technologies Co Ltd  which they described as a security threat.
GOOGL,Alphabet Inc,20180620,UPDATE 1-U.S. lawmakers want Google to reconsider links to China's Huawei ,WASHINGTON  June 20 Some Republican and Democratic U.S. lawmakers asked Alphabet Inc's Google on Wednesday to reconsider its work with Chinese telecommunications firm Huawei Technologies Co Ltd  which they described as a security threat.
GOOGL,Alphabet Inc,20180612,Chinese truckers demonstrate over high fuel costs  truck-hailing app Manbang ,SHANGHAI/BEIJING  June 12 Chinese truck drivers are demonstrating against higher fuel costs and the dominance of local truck hire platform Manbang which they said is squeezing incomes  a potential headache for the firm backed by SoftBank Group Corp and Alphabet Inc.
GOOGL,Alphabet Inc,20180607,Google bars uses of its artificial intelligence tech in weapons ,SAN FRANCISCO  June 7 Google will not allow its artificial intelligence software to be used in weapons or unreasonable surveillance efforts  the Alphabet Inc unit said Thursday in standards for its business decisions in the nascent field.
GOOGL,Alphabet Inc,20180606,UPDATE 1-Alphabet shareholders reject diversity proposal backed by employees ,MOUNTAIN VIEW  Calif.  June 6 Alphabet Inc's shareholders  including top executives  voted down several proposals on Wednesday  defeating campaigns to tie pay to diversity goals and to get the Google parent to provide more data about efforts to moderate user-generated content.
GOOGL,Alphabet Inc,20180601,RPT-FOCUS-Google's 'Reserve' tool winning converts  taking search to next level ,SAN FRANCISCO  June 1 Alphabet Inc's Google is drawing thousands of new customers to gyms and salons each month through an appointment-booking tool released last year  Reuters has learned  a quiet step in the company's transition to the next generation of search.
GOOGL,Alphabet Inc,20180531,Google launches second app in China  woos top smartphone market ,BEIJING Alphabet Inc's  Google has launched a file managing tool in several Chinese app stores as it looks for fresh inroads into the world's biggest smartphone market  where most of the internet giant's top products remain banned.
GOOGL,Alphabet Inc,20180522,Yelp seeks to revive EU antitrust complaint against Google ,SAN FRANCISCO Yelp Inc said on Tuesday it has renewed a European antitrust complaint against Alphabet Inc's Google  seeking to gain traction on a longstanding accusation that the search giant unfairly promotes its own services in results.
GOOGL,Alphabet Inc,20180516,Highlights: Hedge funds chomped on FAANGs during first quarter tech turmoil ,The following are some hot stocks including the so-called FAANG technology stocks - Facebook Inc   Amazon.com   Apple Inc   Netflix Inc  and Google parent Alphabet Inc  - as well as other companies in which hedge fund managers either took new stakes  adding to or exiting existing positions in the first quarter  filings with the U.S. Securities and Exchange Commission showed on Tuesday.
GOOGL,Alphabet Inc,20180515,BRIEF-Tiger Global Dissolves Stake In Alphabet  Takes Stake in Twitter ,* REPORTS SHARE STAKE OF 200 000 CLASS A SHARES IN DROPBOX - SEC FILING
GOOGL,Alphabet Inc,20180513,Tesla executive Schwall joins Alphabet's Waymo ,Alphabet Inc's self-driving unit  Waymo  said on Sunday that Matthew Schwall had joined the company from Tesla Inc where he was the electric carmaker's main technical contact with U.S. safety investigators.
GOOGL,Alphabet Inc,20180509,Alphabet  Intel  FedEx  AT&T among drone pilot winners: universities ,WASHINGTON The Federal Aviation Administration on Wednesday is unveiling 10 pilot projects from counties  cities  states and universities that have been selected to help speed the use of unmanned aerial vehicles  or drones including many major corporate partners.
GOOGL,Alphabet Inc,20180508,UPDATE 1-White House to hold artificial intelligence meeting with companies ,WASHINGTON  May 8 The White House will convene a meeting on Thursday on the future of artificial intelligence in U.S. industry with major companies including Facebook Inc   Amazon.com Inc  Google parent Alphabet Inc and Oracle Corp as well as senior government officials.
GOOGL,Alphabet Inc,20180427,Alphabet's Sergey Brin says company must assume greater responsibility ,SAN FRANCISCO Alphabet Inc  President Sergey Brin said on Friday  that technology companies must take greater responsibility for the social impact of their work  his first comments following a year of heightened global awareness about misuse of digital services.
GOOGL,Alphabet Inc,20180424,Google-owner Alphabet's shares fall on rise in costs ,Shares of Google parent Alphabet Inc lost more than 5 percent on Tuesday as a surge in costs drove what analysts said was its biggest ever contraction in gross margins  overshadowing strong first-quarter ad sales.
GOOGL,Alphabet Inc,20180423,BRIEF-Alphabet CFO Says Sites TAC To Continue To Increase As Percentage Of Sites Revenue  But Pace Of Y/Y Increase To Slow Starting Q2 ,* ALPHABET CFO - AT WAYMO  ACHIEVED 5 MILLION MILES OF DRIVING ON CITY STREETS  ADDING THE LATEST MILLION IN JUST 3 MONTHS - CONF CALL
GOOGL,Alphabet Inc,20180417,ZTE may lose Android software license under U.S. order: source ,SAN FRANCISCO China's ZTE Corp  may not be able to use Google's Android operating system in its mobile devices because of a U.S. Commerce Department export control order  a source familiar with the matter said on Tuesday  adding that ZTE and the Alphabet Inc   unit have been discussing the impact of the order.
GOOGL,Alphabet Inc,20180412,Google poised to emerge unscathed from European antitrust crackdown ,BRUSSELS/SAN FRANCISCO The European Union's top antitrust regulator  Margrethe Vestager  has made it her mission to stem alleged anti-competitive abuses by big American tech companies  threatening as recently as last month to break up Alphabet Inc's Google.
GOOGL,Alphabet Inc,20180410,Google in talks to buy Nokia's airplane broadband business - Bloomberg ,April 10 Alphabet Inc's Google is in talks to buy Nokia Oyj's airplane broadband business  Bloomberg reported https://www.bloomberg.com/news/articles/2018-04-10/google-is-said-in-talks-to-buy-nokia-s-airborne-broadband-system on Tuesday  citing people familiar with the matter.
GOOGL,Alphabet Inc,20180409,Alphabet unit to start Toronto smart-city tech pilot in summer  build in 2020 ,TORONTO Alphabet Inc's urban innovation company Sidewalk Labs hopes to break ground on its first ever smart-city project in Toronto in 2020  and begin testing some of the proposed technologies this summer  its chief executive told Reuters.
GOOGL,Alphabet Inc,20180408,Investors not giving Alphabet enough credit for growth outlook: Barron's ,NEW YORK Investors are not giving Alphabet Inc  sufficient credit for its growth outlook and franchise value  as the tech company could see profits expand 15 to 20 percent annually over the next three years  Barron's said in an article on Sunday.
GOOGL,Alphabet Inc,20180402,BRIEF-Alphabet Says To Transition Network Rev Metrics To Pct Change In Impressions & Cost-Per Impression In Q1 ,* IN Q1  TO TRANSITION NETWORK REV METRICS FROM PCT CHANGE IN PAID CLICKS & COST-PER-CLICK TO PCT CHANGE IN IMPRESSIONS & COST-PER IMPRESSION
GOOGL,Alphabet Inc,20180327,Google to acquire GIF platform Tenor ,Alphabet Inc's Google said on Tuesday it would acquire GIF platform Tenor to help enhance search and sharing of animated images.
GOOGL,Alphabet Inc,20180326,Facebook CEO among those invited to testify at U.S. Senate hearing ,WASHINGTON The U.S. Senate Judiciary Committee said on Monday it had invited the chief executive officers of Facebook Inc   Alphabet Inc  and Twitter Inc  to testify at an April 10 hearing on data privacy.
GOOGL,Alphabet Inc,20180314,Google to ban ads on cryptocurrencies  related products ,March 14 Alphabet Inc's Google said on Wednesday it will ban advertisements for cryptocurrencies and related content starting in June.
GOOGL,Alphabet Inc,20180313,YouTube to display Wikipedia blurbs alongside conspiracy videos ,SAN FRANCISCO YouTube will begin displaying text from Wikipedia articles and other websites alongside some videos in a couple of weeks as the unit of Alphabet Inc's  Google attempts to combat hoaxes and conspiracy theories on the service  its chief executive said on Tuesday.
GOOGL,Alphabet Inc,20180307,Google Maps lets businesses promote themselves as women-led ,SAN FRANCISCO Businesses can now describe themselves in Google Maps listings as being owned  led or founded by women  the Alphabet Inc  unit announced Wednesday.
GOOGL,Alphabet Inc,20180228,Google's shopping rivals call for action from EU antitrust watchdog ,BRUSSELS Google competitors have called for further action by European Union antitrust regulators to ensure the Alphabet-owned  firm treats rivals offering shopping services equally.
GOOGL,Alphabet Inc,20180210,UPDATE 8-Waymo accepts $245 mln and Uber's 'regret' to settle self-driving car dispute ,SAN FRANCISCO  Feb 9 Uber Technologies Inc will pay $245 million worth of its own shares to Alphabet Inc's Waymo self-driving vehicle unit to settle a legal dispute over trade secrets  allowing Uber's chief executive to move past one of the company's most bruising public controversies.
GOOGL,Alphabet Inc,20180209,Uber rejected $500 million settlement with Waymo earlier this week ,SAN FRANCISCO Alphabet Inc's Waymo early this week proposed a settlement deal with Uber Technologies Inc [UBER.UL] in which Uber would pay $500 million in equity to resolve a high-stakes trade-secrets case  but Uber directors rejected the offer in a board meeting on Tuesday  according to two sources close to the discussions.
GOOGL,Alphabet Inc,20180207,Alphabet shifts thermostat maker Nest into Google ,SAN FRANCISCO Alphabet Inc merged smart thermostat maker Nest  which had operated as an independent unit  into its Google hardware group  the company announced in a blog post on Wednesday.
GOOGL,Alphabet Inc,20180206,Alphabet names former Time Warner Cable exec to lead internet unit ,SAN FRANCISCO  Feb 6 Alphabet Inc said a former Time Warner Cable chief operating officer started Tuesday as chief executive of its internet service company  marking the unit's third CEO in less than two years.
GOOGL,Alphabet Inc,20180202,Alphabet's earnings miss profit estimates as spending grows ,Google parent Alphabet Inc missed quarterly profit forecasts as steady ad sales growth was offset by increased spending to promote its consumer gadgets  YouTube video app and cloud computing services  the U.S. technology company said on Thursday. | Video 
GOOGL,Alphabet Inc,20180201,Alphabet  Aramco in talks to build tech hub in Saudi Arabia: WSJ ,Google parent Alphabet Inc is in talks with Saudi state oil company Saudi Aramco about jointly building a technology hub in Saudi Arabia  the Wall Street Journal reported  citing people familiar with the matter.
GOOGL,Alphabet Inc,20180131,Google aims to get 'diverse perspectives' into search results ,"SAN FRANCISCO Alphabet Inc's Google will put more of a premium on ""diverse perspectives"" in its search results  saying in a blog post on Tuesday that answers highlighted at the top of result pages would soon display multiple viewpoints on topics for the first time ever."
GOOGL,Alphabet Inc,20180125,Google rolls out new addition to 'Mute This Ad' feature ,Alphabet Inc's Google rolled out a new addition to its ads settings that will enable users to mute reminder ads in apps and on websites that partner with the company to show the ads.
GOOGL,Alphabet Inc,20180124,CORRECTED-Alphabet unveils Chronicle  a new cyber security business incubated at X ,"SAN FRANCISCO  Jan 24 Alphabet Inc on Wednesday unveiled Chronicle  a cyber security business founded in its X incubation unit in early 2016 that is focusing focus on developing digital ""immune systems"" for customers."
GOOGL,Alphabet Inc,20180118,Google  Temasek coming in as new investors in Indonesia's Go-Jek -sources ,SINGAPORE  Jan 18 Alphabet Inc's Google   Singapore state investor Temasek Holdings Pte Ltd and Chinese online platform Meituan-Dianping are investing in a fundraising round of Indonesian ride-hailing start-up Go-Jek  sources familiar with the matter said.
GOOGL,Alphabet Inc,20180116,Google to expand cloud infrastructure with new regions  submarine cables ,Alphabet Inc's Google said on Tuesday it would add five regions and build three new submarine cables as it expands its infrastructure for cloud customers.
GOOGL,Alphabet Inc,20180115,Google to relaunch map service in China -Nikkei ,Jan 15 Alphabet Inc's Google will relaunch its map service in China after an eight-year absence  Nikkei reported on Monday.
GOOGL,Alphabet Inc,20180112,Google removes gaming apps with pop-up porn malware ,Alphabet Inc's  Google said on Friday it took down 60 gaming applications after security firm Check Point said it had discovered new malicious software in the apps available to both children and adults at Google Play Store.
GOOGL,Alphabet Inc,20180104,Alphabet healthcare company gets funding to help Medicaid patients ,Jan 4 Cityblock Health  a healthcare company which aims to serve low-income urban residents covered by Medicaid and Medicare  said on Thursday it received $20.8 million in a first round of funding from Maverick Ventures  Thrive Capital and Sidewalk Labs  the subsidiary of Alphabet Inc that founded Cityblock.
GOOGL,Alphabet Inc,20180103,Alphabet's Google explores sale of restaurant reviewer Zagat: sources ,Alphabet Inc's Google is exploring a potential sale of Zagat  the U.S. restaurant review guide which the search giant bought for $151 million in 2011  people familiar with the matter said.
GOOGL,Alphabet Inc,20171222,BRIEF-Alphabet Board Member John Hennessy Is A Likely Candidate To Replace Schmidt As Chairman- CNBC‍​ ,* SCHMIDT TRANSITION HAS BEEN IN THE WORKS FOR ABOUT A YEAR & BOARD MEMBER JOHN HENNESSY IS A LIKELY CANDIDATE TO REPLACE SCHMIDT - CNBC  CITING SOURCE ‍​ Further company coverage: ( Bangalore.newsroom@thomsonreuters.com )
GOOGL,Alphabet Inc,20171221,Alphabet's Eric Schmidt to step down as executive chairman ,Dec 21 Alphabet Inc said on Thursday its Executive Chairman Eric Schmidt will step down from his position to become a technical advisor as of its next regular board meeting in January 2018.
GOOGL,Alphabet Inc,20171213,Google launching artificial intelligence research center in China ,BEIJING Alphabet Inc's  Google said on Wednesday it is opening an artificial intelligence (AI) research center in China to target the country's local talent  even as the U.S. search firm's products remain blocked in the country.
GOOGL,Alphabet Inc,20171205,Google unveils new Android software in India to power cheap smartphones ,MUMBAI Alphabet Inc's  Google launched a stripped-down version of its Android software in India on Tuesday  as it attempts to woo millions of basic phone users in the fast-growing wireless services market.
GOOGL,Alphabet Inc,20171204,Australia to probe Facebook  Google over media disruption ,SYDNEY Australia's competition regulator said on Monday it would investigate whether U.S. online giants Facebook  and Alphabet Inc's  Google have disrupted the news media market to the detriment of publishers and consumers.
GOOGL,Alphabet Inc,20171130,Google launches app to for mobile phone users in emerging markets ,SAN FRANCISCO Alphabet Inc's Google introduced an app on Wednesday designed to help Android smartphone users stay under the limits of pricey mobile data packages in developing countries.
GOOGL,Alphabet Inc,20171129,REFILE-UPDATE 4-Uber-Waymo trial delayed as U.S. judge raises prospect of 'cover-up' ,SAN FRANCISCO  Nov 28 Uber Technologies Inc withheld evidence in a lawsuit filed by Alphabet Inc's Waymo  a U.S. judge said on Tuesday  delaying a trial to give Waymo time to review a letter alleging Uber trained employees to steal trade secrets and hide their tracks.
GOOGL,Alphabet Inc,20171128,Google adds 'finance' tab to search filters  revamps Google Finance ,"Alphabet Inc said on Tuesday users doing a Google search would now be able to filter results with a new ""finance"" tab  which works in the same way that its ""images"" or ""news"" tab does."
GOOGL,Alphabet Inc,20171117,Google buys plot near Apple's planned Danish data center ,COPENHAGEN Alphabet Inc's Google said it has bought a plot of land in southern Denmark adjacent to a planned Apple Inc data center to make sure it has the option of building one there too.
GOOGL,Alphabet Inc,20171114,BRIEF-Tiger Global dissolves share stake in Alphabet  ups stake in Facebook ,* Tiger Global dissolves share stake in Alphabet Inc - SEC filing
GOOGL,Alphabet Inc,20171107,Alphabet's Waymo to launch robotaxis with no human in driver's seat ,SAN FRANCISCO Alphabet Inc's Waymo will launch a ride-hailing service with no human behind the steering wheel and has been testing the fully self-driving cars on public roads in Arizona  Chief Executive John Krafcik said on Tuesday.
GOOGL,Alphabet Inc,20171031,Google ditched autopilot driving feature after test user napped behind wheel ,ATWATER  Calif. Alphabet Inc's  self-driving car unit stopped developing features that required drivers to take control in dangerous situations  its chief executive said Monday  as autopilot reliance left users prone to distractions and ill-prepared to maneuver.
GOOGL,Alphabet Inc,20171027,Alphabet's mobile ad revenue surges; shares jump , (In paragraph 22  corrects Other Bets segment losses to millions of dollars  not billions in October 26 story.) | Video 
GOOGL,Alphabet Inc,20171026,BRIEF-Alphabet posts qtrly earnings per share of $9.57 ,* Q3 earnings per share view $8.33 -- Thomson Reuters I/B/E/S
GOOGL,Alphabet Inc,20171020,Alphabet balloon project to provide limited internet in Puerto Rico ,Experimental communications balloons provided by Alphabet Inc in collaboration with AT&T Inc will allow some of the carrier's customers in storm-ravaged Puerto Rico to send texts and access critical information on the internet  Alphabet said on Friday.
GOOGL,Alphabet Inc,20171019,UPDATE 4-Alphabet's CapitalG leads Lyft's $1 bln funding round ,Oct 19 Lyft Inc has raised $1 billion in fresh financing  the ride-services company said on Thursday  in a round led by one of Alphabet Inc's investment funds  further complicating the convoluted world of ride-hailing alliances and dealing a blow to rival Uber Technologies Inc.
GOOGL,Alphabet Inc,20171017,Alphabet to develop high-tech waterfront site in Toronto ,TORONTO Canada has tapped Google parent Alphabet Inc to help plan a mixed-use development along Toronto's Lake Ontario waterfront using cutting-edge digital technologies and urban design.
GOOGL,Alphabet Inc,20171009,Alphabet launches U.S. ad campaign to promote driverless car safety ,WASHINGTON Alphabet Inc's self-driving car unit Waymo and several groups are launching a campaign aimed at convincing skeptical Americans of what they say is the value and safety of driverless cars  as Congress considers how it will regulate the technology.
GOOGL,Alphabet Inc,20171007,Google to use balloons to provide Puerto Rico cell service ,WASHINGTON  Oct 6 The U.S. Federal Communications Commission said late on Friday it had approved Alphabet Inc's application to provide emergency cellular service to Puerto Rico through its Project Loon balloons.
GOOGL,Alphabet Inc,20171005,Social media executives to testify Nov. 1 about Russia and U.S. election ,WASHINGTON Executives from Facebook Inc   Twitter Inc  and Alphabet Inc's  Google have been asked to testify about Russian meddling in the 2016 U.S. election before a House of Representatives panel on Nov. 1  a congressional aide said on Thursday.
GOOGL,Alphabet Inc,20170927,U.S. lawmakers ask Facebook  Twitter for information on anti-fracking ads ,WASHINGTON A U.S. House committee investigating whether Russia has tried to influence U.S. public opinion on fossil fuels asked Facebook   Twitter  and Alphabet  on Wednesday to turn over information about Russian entities that may have bought anti-fracking advertisements.
GOOGL,Alphabet Inc,20170920,Waymo seeking $2.6 bln from Uber for one trade secret - lawyer ,SAN FRANCISCO Alphabet Inc's Waymo unit is seeking about $2.6 billion from Uber for the alleged theft of one of several trade secrets in a lawsuit over self-driving cars  a lawyer for Uber said on Wednesday.
GOOGL,Alphabet Inc,20170915,Alphabet talks with Lyft about possible investment: source ,SAN FRANCISCO Alphabet Inc  is in discussions with Lyft Inc about a possible investment in the ride-hailing company  potentially deepening an existing partnership between the two firms  a person familiar with the talks said on Thursday. | Video 
GOOGL,Alphabet Inc,20170914,BRIEF-Alphabet Inc to consider Lyft investment of about $1 bln - Bloomberg ,* Alphabet Inc to consider Lyft investment of about $1 billion - Bloomberg Source text : https://bloom.bg/2vWw6RZ Further company coverage:
GOOGL,Alphabet Inc,20170913,Uber's bid to move Waymo court fight to arbitration denied by appeals court ,Uber Technology Inc's attempt to move its high-profile trade secrets dispute with Alphabet Inc's self-driving car unit Waymo to private arbitration was denied again by a U.S. federal appeals court on Wednesday.
GOOGL,Alphabet Inc,20170829,Alphabet's Google acts to comply with EU antitrust order ,BRUSSELS Google  has submitted details of how it plans to stop favoring its shopping service to comply with a European Union  antitrust order  EU regulators said on Tuesday.
GOOGL,Alphabet Inc,20170825,BUZZ-BlackRock's largest mutual fund appears to warm to Google again ,** BlackRock Inc portfolio managers appear to have turned more optimistic on Alphabet Inc
GOOGL,Alphabet Inc,20170808,Google fires employee behind anti-diversity memo ,Aug 7 Alphabet Inc's Google has fired an employee who wrote an internal memo that ascribed gender inequality in the technology industry to biological differences.
GOOGL,Alphabet Inc,20170807,Omega's Cooperman tells CNBC his biggest position is Alphabet ,NEW YORK Hedge fund investor Leon Cooperman  the chief executive of Omega Advisors  told cable television network CNBC on Monday that his firm's biggest position was a bullish bet on Google parent Alphabet Inc.
GOOGL,Alphabet Inc,20170727,Google hopes to train 10 million people in Africa in online skills: CEO ,LAGOS Alphabet Inc's Google aims to train 10 million people in Africa in online skills over the next five years in an effort to make them more employable  its chief executive said on Thursday.
GOOGL,Alphabet Inc,20170726,BRIEF-Alphabet's Google announces $50 mln initiative to help people prepare for the changing nature of work - Blog ,* Alphabet's Google announces a $50 million initiative to help people prepare for the changing nature of work - Blog
GOOGL,Alphabet Inc,20170725,Google Canada head exits  company names interim head ,TORONTO Alphabet Inc said on Tuesday that the head of its Google Canada operations  Sam Sebastian  has left the company.
GOOGL,Alphabet Inc,20170724,BRIEF-Alphabet reports qtrly earnings per share of $5.01 ,* Qtrly earnings per share excluding European Commission fine was $8.90
